,Date,User,Tweet
0,2023-01-24 12:06:32+00:00,Jao_ham,8700.- 7/8✅ กากไฟ ตาไฟ ชุดญ/ช 500+ เปิดตัว 9 ซองม่วง/ดีเเทค หมัด 7 พ.ต dmมา #ขายรหัสเกม #ฟีฟาย #รหัสฟีฟาย #เกมฟีฟาย #ขายรหัส https://t.co/avVJFpPeqT
1,2023-01-21 10:09:33+00:00,shopshopmee,#ปิดการขาย #ออกโอนตรง #ฟีฟาย #ขายรหัส #เกม https://t.co/Gu2ldNoLq7
2,2023-01-20 16:27:35+00:00,PinowiPnW,น้องชายจะซื้อรหัสเกมแล้วโดนโกงแล้วบล็อก คือเราก็หาเฟสคนที่โกงจนเจอนะ2เฟสแต่พอทักไปแล้วดันโดนบล็อกคือ ยอมรับแล้วสินะว่าโกงจริง ถ้าผ่านมาเห็นก็อยากบอกว่า เจอกันที่สน.ไม่ก็ศาลนะ กูจะสาวให้ยับเลย ออมีการบอกโกงเม้น-1พร้อมหลักฐานแต่บล็อกผมนะยังไงนิ😂 #โกง #รหัสเกม #ขายรหัส https://t.co/6HZdNonbex
3,2023-01-20 02:03:52+00:00,NaExekh,"#มีคนฝากขาย

ขายรหัสหลักrobloxค่าาเล่นมานาน4-5ปีเเล้วรหัสติดเมลสามารถเอาออกได้
ติดเเมพ
1.Blox Fruits

2.Shindo Life

https://t.co/ibwdNCcH7I Ghoul

4.King Legacy

5.All Star Tower Defense

https://t.co/IwQzmG1Ue4 Hero Mania

400-500ใครเปิดมา500ปิด

#ROBLOX #ขายรหัส https://t.co/kwgIzqsdOm"
4,2023-01-19 02:56:12+00:00,chupeachmei,"っ ̯ •  400 b  𓈒
          เชื่อมการีน่า
ขอคนพร้อมเปลี่ยนเบอร์
⠀ติดเมลไม่ยก⠀ติดเฟส เฟสบิน
        Hero 65 Skin 94

#rovth #ขายรหัสrov #ขายไอดีrov #ขายรหัส https://t.co/nNoTonZp3R"
5,2023-01-18 01:12:36+00:00,skj04zi,"♡⃝𝐀𝐜𝐜 𝑭𝒓𝒆𝒆 𝒇𝒊𝒓𝒆.ᐟ   ּ  ֗  ִ ♥︎
𝐬𝐭𝐚𝐭𝐮𝐬 ; ว่าง
𝐩𝐫𝐢𝐜𝐞 ;  1,865
 ⋆  ࣪  𖤐 → ปืนอัพ ซองม่วง ตีนหมีเเดง หมัดงู เกงเรด ปีกนกเเดง ชุดเเน่น หัวสวย ความคุ้ม !
#ขายรหัสฟีฟาย #ขายรหัสเกม #ขายรหัสเกมราคาถูก #ขายรหัสฟีฟายเน้นหญิง #ฟีฟาย #ขายรหัสฟีฟายถูกๆ #ขายรหัส https://t.co/07Fa1mSBjL"
6,2023-01-17 13:57:12+00:00,chupeachmei,"っ ̯ •  400 b  𓈒
          เชื่อมการีน่า
ขอคนพร้อมเปลี่ยนเบอร์
⠀ติดเมลไม่ยก⠀ติดเฟส เฟสบิน
        Hero 65 Skin 94

#rovth #ขายรหัสrov #ขายไอดีrov #ขายรหัส https://t.co/tV0wmgG71Z"
7,2023-01-15 16:03:41+00:00,gu_nakaaa,"ตอนนี้รู้สึกว่าไม่อยากเล่นน้องแล้วราคาตัวน้องไม่สูงมากได้น้องมา200+ แต่วันนี้ขอคนที่อยากได้น้องจริงๆรับไปดูแลต่อทีค่ะ เอาไปปั่นต่อได้เลยน้าาาา า 
📍ทักเดมมาได้เลยคับ 📍
มีสองตัวละครชายหญิง🎀
#zepetothailand #ZEPETO #ขายแอค #ขายรหัส #แจก https://t.co/g2aIKG6ZBR"
8,2023-01-15 03:55:03+00:00,zpaop3i_,มีใครขายรหัสไอเดนมั้ยคะ แปะราคาหน่อยค่ะTT #IdentityV #ไอเดน #ขายรหัส
9,2023-01-14 16:13:29+00:00,Jao_ham,8200.- ✅ 7/5 หมวกเอฟ ท่าไก่ต๊อก ชุด600+ เกงนอน กากไฟ หมัดไฟ สักทองช/ญ 🍫✨ พ.ต ทักแชท #ขายรหัสเกม #ฟีฟาย #รหัสฟีฟาย #เกมฟีฟาย #ขายรหัส https://t.co/dOjlLwRskJ
